species,variable,value
Rs7327__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,78
WIV1__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,77
YN2013__Rhinolophus_sinicus,Rs4247__Rhinolophus_sinicus,20
Rf1__Rhinolophus_ferrumequium,Rs4247__Rhinolophus_sinicus,23
Rs4247__Rhinolophus_sinicus,Rs4247__Rhinolophus_sinicus,0
Rs4237__Rhinolophus_sinicus,Rs4247__Rhinolophus_sinicus,11
Rp3__Rhinolophus_pearsonii,Rs4247__Rhinolophus_sinicus,8
RhGB01__Rhinolophus_hipposideros,Rs4247__Rhinolophus_sinicus,86
BB9904__Rhinolophus_euryale,Rs4247__Rhinolophus_sinicus,82
BM48-31__Rhinolophus_blasii,Rs4247__Rhinolophus_sinicus,85
Khosta2__Rhinolophus_hipposideros,Rs4247__Rhinolophus_sinicus,87
Khosta1__Rhinolophus_ferrumequinum,Rs4247__Rhinolophus_sinicus,75
PRD-0038__Rhinolophus,Rs4247__Rhinolophus_sinicus,78
BtKY72__Rhinolophus,Rs4247__Rhinolophus_sinicus,78
PRD-2386__Rhinolophus,Rs4247__Rhinolophus_sinicus,77
RaTG15__Rhinolophus_affinis,Rs4247__Rhinolophus_sinicus,83
SARS_CoV-2__Homo_sapiens,Rs4247__Rhinolophus_sinicus,80
RaTG13__Rhinolophus_affinis,Rs4247__Rhinolophus_sinicus,80
Rs4231__Rhinolophus_sinicus,Rs4247__Rhinolophus_sinicus,81
SARS_CoV__Homo_sapiens,Rs4247__Rhinolophus_sinicus,83
LYRa11__Rhinolophus_affinis,Rs4247__Rhinolophus_sinicus,81
Rs7327__Rhinolophus_sinicus,Rs4247__Rhinolophus_sinicus,81
WIV1__Rhinolophus_sinicus,Rs4247__Rhinolophus_sinicus,80
YN2013__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,22
Rf1__Rhinolophus_ferrumequium,Rs4237__Rhinolophus_sinicus,22
Rs4247__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,11
Rs4237__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,0
Rp3__Rhinolophus_pearsonii,Rs4237__Rhinolophus_sinicus,6
RhGB01__Rhinolophus_hipposideros,Rs4237__Rhinolophus_sinicus,85
BB9904__Rhinolophus_euryale,Rs4237__Rhinolophus_sinicus,81
BM48-31__Rhinolophus_blasii,Rs4237__Rhinolophus_sinicus,84
Khosta2__Rhinolophus_hipposideros,Rs4237__Rhinolophus_sinicus,87
Khosta1__Rhinolophus_ferrumequinum,Rs4237__Rhinolophus_sinicus,75
PRD-0038__Rhinolophus,Rs4237__Rhinolophus_sinicus,78
BtKY72__Rhinolophus,Rs4237__Rhinolophus_sinicus,78
PRD-2386__Rhinolophus,Rs4237__Rhinolophus_sinicus,77
RaTG15__Rhinolophus_affinis,Rs4237__Rhinolophus_sinicus,82
SARS_CoV-2__Homo_sapiens,Rs4237__Rhinolophus_sinicus,80
RaTG13__Rhinolophus_affinis,Rs4237__Rhinolophus_sinicus,80
Rs4231__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,81
SARS_CoV__Homo_sapiens,Rs4237__Rhinolophus_sinicus,80
LYRa11__Rhinolophus_affinis,Rs4237__Rhinolophus_sinicus,78
Rs7327__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,79
WIV1__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,77
YN2013__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,22
Rf1__Rhinolophus_ferrumequium,Rp3__Rhinolophus_pearsonii,21
Rs4247__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,8
Rs4237__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,6
Rp3__Rhinolophus_pearsonii,Rp3__Rhinolophus_pearsonii,0
RhGB01__Rhinolophus_hipposideros,Rp3__Rhinolophus_pearsonii,85
BB9904__Rhinolophus_euryale,Rp3__Rhinolophus_pearsonii,82
BM48-31__Rhinolophus_blasii,Rp3__Rhinolophus_pearsonii,83
Khosta2__Rhinolophus_hipposideros,Rp3__Rhinolophus_pearsonii,86
Khosta1__Rhinolophus_ferrumequinum,Rp3__Rhinolophus_pearsonii,76
PRD-0038__Rhinolophus,Rp3__Rhinolophus_pearsonii,79
BtKY72__Rhinolophus,Rp3__Rhinolophus_pearsonii,79
PRD-2386__Rhinolophus,Rp3__Rhinolophus_pearsonii,78
RaTG15__Rhinolophus_affinis,Rp3__Rhinolophus_pearsonii,80
SARS_CoV-2__Homo_sapiens,Rp3__Rhinolophus_pearsonii,79
RaTG13__Rhinolophus_affinis,Rp3__Rhinolophus_pearsonii,79
Rs4231__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,80
SARS_CoV__Homo_sapiens,Rp3__Rhinolophus_pearsonii,81
LYRa11__Rhinolophus_affinis,Rp3__Rhinolophus_pearsonii,79
Rs7327__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,80
WIV1__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,78
YN2013__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,91
Rf1__Rhinolophus_ferrumequium,RhGB01__Rhinolophus_hipposideros,85
Rs4247__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,86
Rs4237__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,85
Rp3__Rhinolophus_pearsonii,RhGB01__Rhinolophus_hipposideros,85
RhGB01__Rhinolophus_hipposideros,RhGB01__Rhinolophus_hipposideros,0
BB9904__Rhinolophus_euryale,RhGB01__Rhinolophus_hipposideros,58
BM48-31__Rhinolophus_blasii,RhGB01__Rhinolophus_hipposideros,56
Khosta2__Rhinolophus_hipposideros,RhGB01__Rhinolophus_hipposideros,60
Khosta1__Rhinolophus_ferrumequinum,RhGB01__Rhinolophus_hipposideros,57
PRD-0038__Rhinolophus,RhGB01__Rhinolophus_hipposideros,58
BtKY72__Rhinolophus,RhGB01__Rhinolophus_hipposideros,58
PRD-2386__Rhinolophus,RhGB01__Rhinolophus_hipposideros,57
RaTG15__Rhinolophus_affinis,RhGB01__Rhinolophus_hipposideros,80
SARS_CoV-2__Homo_sapiens,RhGB01__Rhinolophus_hipposideros,74
RaTG13__Rhinolophus_affinis,RhGB01__Rhinolophus_hipposideros,77
Rs4231__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,74
SARS_CoV__Homo_sapiens,RhGB01__Rhinolophus_hipposideros,73
LYRa11__Rhinolophus_affinis,RhGB01__Rhinolophus_hipposideros,72
Rs7327__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,70
WIV1__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,69
YN2013__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,84
Rf1__Rhinolophus_ferrumequium,BB9904__Rhinolophus_euryale,80
Rs4247__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,82
Rs4237__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,81
Rp3__Rhinolophus_pearsonii,BB9904__Rhinolophus_euryale,82
RhGB01__Rhinolophus_hipposideros,BB9904__Rhinolophus_euryale,58
BB9904__Rhinolophus_euryale,BB9904__Rhinolophus_euryale,0
BM48-31__Rhinolophus_blasii,BB9904__Rhinolophus_euryale,34
Khosta2__Rhinolophus_hipposideros,BB9904__Rhinolophus_euryale,62
Khosta1__Rhinolophus_ferrumequinum,BB9904__Rhinolophus_euryale,48
PRD-0038__Rhinolophus,BB9904__Rhinolophus_euryale,45
BtKY72__Rhinolophus,BB9904__Rhinolophus_euryale,43
PRD-2386__Rhinolophus,BB9904__Rhinolophus_euryale,44
RaTG15__Rhinolophus_affinis,BB9904__Rhinolophus_euryale,72
SARS_CoV-2__Homo_sapiens,BB9904__Rhinolophus_euryale,74
RaTG13__Rhinolophus_affinis,BB9904__Rhinolophus_euryale,77
Rs4231__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,67
SARS_CoV__Homo_sapiens,BB9904__Rhinolophus_euryale,71
LYRa11__Rhinolophus_affinis,BB9904__Rhinolophus_euryale,71
Rs7327__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,69
WIV1__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,68
YN2013__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,85
Rf1__Rhinolophus_ferrumequium,BM48-31__Rhinolophus_blasii,79
Rs4247__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,85
Rs4237__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,84
Rp3__Rhinolophus_pearsonii,BM48-31__Rhinolophus_blasii,83
RhGB01__Rhinolophus_hipposideros,BM48-31__Rhinolophus_blasii,56
BB9904__Rhinolophus_euryale,BM48-31__Rhinolophus_blasii,34
BM48-31__Rhinolophus_blasii,BM48-31__Rhinolophus_blasii,0
Khosta2__Rhinolophus_hipposideros,BM48-31__Rhinolophus_blasii,61
Khosta1__Rhinolophus_ferrumequinum,BM48-31__Rhinolophus_blasii,46
PRD-0038__Rhinolophus,BM48-31__Rhinolophus_blasii,41
BtKY72__Rhinolophus,BM48-31__Rhinolophus_blasii,42
PRD-2386__Rhinolophus,BM48-31__Rhinolophus_blasii,42
RaTG15__Rhinolophus_affinis,BM48-31__Rhinolophus_blasii,68
SARS_CoV-2__Homo_sapiens,BM48-31__Rhinolophus_blasii,67
RaTG13__Rhinolophus_affinis,BM48-31__Rhinolophus_blasii,71
Rs4231__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,60
SARS_CoV__Homo_sapiens,BM48-31__Rhinolophus_blasii,64
LYRa11__Rhinolophus_affinis,BM48-31__Rhinolophus_blasii,63
Rs7327__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,62
WIV1__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,61
YN2013__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,91
Rf1__Rhinolophus_ferrumequium,Khosta2__Rhinolophus_hipposideros,87
Rs4247__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,87
Rs4237__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,87
Rp3__Rhinolophus_pearsonii,Khosta2__Rhinolophus_hipposideros,86
RhGB01__Rhinolophus_hipposideros,Khosta2__Rhinolophus_hipposideros,60
BB9904__Rhinolophus_euryale,Khosta2__Rhinolophus_hipposideros,62
BM48-31__Rhinolophus_blasii,Khosta2__Rhinolophus_hipposideros,61
Khosta2__Rhinolophus_hipposideros,Khosta2__Rhinolophus_hipposideros,0
Khosta1__Rhinolophus_ferrumequinum,Khosta2__Rhinolophus_hipposideros,44
PRD-0038__Rhinolophus,Khosta2__Rhinolophus_hipposideros,46
BtKY72__Rhinolophus,Khosta2__Rhinolophus_hipposideros,46
PRD-2386__Rhinolophus,Khosta2__Rhinolophus_hipposideros,45
RaTG15__Rhinolophus_affinis,Khosta2__Rhinolophus_hipposideros,78
SARS_CoV-2__Homo_sapiens,Khosta2__Rhinolophus_hipposideros,71
RaTG13__Rhinolophus_affinis,Khosta2__Rhinolophus_hipposideros,73
Rs4231__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,68
SARS_CoV__Homo_sapiens,Khosta2__Rhinolophus_hipposideros,64
LYRa11__Rhinolophus_affinis,Khosta2__Rhinolophus_hipposideros,64
Rs7327__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,63
WIV1__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,63
YN2013__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,78
Rf1__Rhinolophus_ferrumequium,Khosta1__Rhinolophus_ferrumequinum,75
Rs4247__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,75
Rs4237__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,75
Rp3__Rhinolophus_pearsonii,Khosta1__Rhinolophus_ferrumequinum,76
RhGB01__Rhinolophus_hipposideros,Khosta1__Rhinolophus_ferrumequinum,57
BB9904__Rhinolophus_euryale,Khosta1__Rhinolophus_ferrumequinum,48
BM48-31__Rhinolophus_blasii,Khosta1__Rhinolophus_ferrumequinum,46
Khosta2__Rhinolophus_hipposideros,Khosta1__Rhinolophus_ferrumequinum,44
Khosta1__Rhinolophus_ferrumequinum,Khosta1__Rhinolophus_ferrumequinum,0
PRD-0038__Rhinolophus,Khosta1__Rhinolophus_ferrumequinum,22
BtKY72__Rhinolophus,Khosta1__Rhinolophus_ferrumequinum,25
PRD-2386__Rhinolophus,Khosta1__Rhinolophus_ferrumequinum,22
RaTG15__Rhinolophus_affinis,Khosta1__Rhinolophus_ferrumequinum,65
SARS_CoV-2__Homo_sapiens,Khosta1__Rhinolophus_ferrumequinum,66
RaTG13__Rhinolophus_affinis,Khosta1__Rhinolophus_ferrumequinum,63
Rs4231__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,58
SARS_CoV__Homo_sapiens,Khosta1__Rhinolophus_ferrumequinum,58
LYRa11__Rhinolophus_affinis,Khosta1__Rhinolophus_ferrumequinum,56
Rs7327__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,55
WIV1__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,53
YN2013__Rhinolophus_sinicus,PRD-0038__Rhinolophus,80
Rf1__Rhinolophus_ferrumequium,PRD-0038__Rhinolophus,79
Rs4247__Rhinolophus_sinicus,PRD-0038__Rhinolophus,78
Rs4237__Rhinolophus_sinicus,PRD-0038__Rhinolophus,78
Rp3__Rhinolophus_pearsonii,PRD-0038__Rhinolophus,79
RhGB01__Rhinolophus_hipposideros,PRD-0038__Rhinolophus,58
BB9904__Rhinolophus_euryale,PRD-0038__Rhinolophus,45
BM48-31__Rhinolophus_blasii,PRD-0038__Rhinolophus,41
Khosta2__Rhinolophus_hipposideros,PRD-0038__Rhinolophus,46
Khosta1__Rhinolophus_ferrumequinum,PRD-0038__Rhinolophus,22
PRD-0038__Rhinolophus,PRD-0038__Rhinolophus,0
BtKY72__Rhinolophus,PRD-0038__Rhinolophus,4
PRD-2386__Rhinolophus,PRD-0038__Rhinolophus,3
RaTG15__Rhinolophus_affinis,PRD-0038__Rhinolophus,66
SARS_CoV-2__Homo_sapiens,PRD-0038__Rhinolophus,59
RaTG13__Rhinolophus_affinis,PRD-0038__Rhinolophus,61
Rs4231__Rhinolophus_sinicus,PRD-0038__Rhinolophus,54
SARS_CoV__Homo_sapiens,PRD-0038__Rhinolophus,57
LYRa11__Rhinolophus_affinis,PRD-0038__Rhinolophus,57
Rs7327__Rhinolophus_sinicus,PRD-0038__Rhinolophus,56
WIV1__Rhinolophus_sinicus,PRD-0038__Rhinolophus,54
YN2013__Rhinolophus_sinicus,BtKY72__Rhinolophus,80
Rf1__Rhinolophus_ferrumequium,BtKY72__Rhinolophus,79
Rs4247__Rhinolophus_sinicus,BtKY72__Rhinolophus,78
Rs4237__Rhinolophus_sinicus,BtKY72__Rhinolophus,78
Rp3__Rhinolophus_pearsonii,BtKY72__Rhinolophus,79
RhGB01__Rhinolophus_hipposideros,BtKY72__Rhinolophus,58
BB9904__Rhinolophus_euryale,BtKY72__Rhinolophus,43
BM48-31__Rhinolophus_blasii,BtKY72__Rhinolophus,42
Khosta2__Rhinolophus_hipposideros,BtKY72__Rhinolophus,46
Khosta1__Rhinolophus_ferrumequinum,BtKY72__Rhinolophus,25
PRD-0038__Rhinolophus,BtKY72__Rhinolophus,4
BtKY72__Rhinolophus,BtKY72__Rhinolophus,0
PRD-2386__Rhinolophus,BtKY72__Rhinolophus,3
RaTG15__Rhinolophus_affinis,BtKY72__Rhinolophus,67
SARS_CoV-2__Homo_sapiens,BtKY72__Rhinolophus,60
RaTG13__Rhinolophus_affinis,BtKY72__Rhinolophus,62
Rs4231__Rhinolophus_sinicus,BtKY72__Rhinolophus,55
SARS_CoV__Homo_sapiens,BtKY72__Rhinolophus,58
LYRa11__Rhinolophus_affinis,BtKY72__Rhinolophus,57
Rs7327__Rhinolophus_sinicus,BtKY72__Rhinolophus,56
WIV1__Rhinolophus_sinicus,BtKY72__Rhinolophus,56
YN2013__Rhinolophus_sinicus,PRD-2386__Rhinolophus,79
Rf1__Rhinolophus_ferrumequium,PRD-2386__Rhinolophus,78
Rs4247__Rhinolophus_sinicus,PRD-2386__Rhinolophus,77
Rs4237__Rhinolophus_sinicus,PRD-2386__Rhinolophus,77
Rp3__Rhinolophus_pearsonii,PRD-2386__Rhinolophus,78
RhGB01__Rhinolophus_hipposideros,PRD-2386__Rhinolophus,57
BB9904__Rhinolophus_euryale,PRD-2386__Rhinolophus,44
BM48-31__Rhinolophus_blasii,PRD-2386__Rhinolophus,42
Khosta2__Rhinolophus_hipposideros,PRD-2386__Rhinolophus,45
Khosta1__Rhinolophus_ferrumequinum,PRD-2386__Rhinolophus,22
PRD-0038__Rhinolophus,PRD-2386__Rhinolophus,3
BtKY72__Rhinolophus,PRD-2386__Rhinolophus,3
PRD-2386__Rhinolophus,PRD-2386__Rhinolophus,0
RaTG15__Rhinolophus_affinis,PRD-2386__Rhinolophus,65
SARS_CoV-2__Homo_sapiens,PRD-2386__Rhinolophus,59
RaTG13__Rhinolophus_affinis,PRD-2386__Rhinolophus,61
Rs4231__Rhinolophus_sinicus,PRD-2386__Rhinolophus,54
SARS_CoV__Homo_sapiens,PRD-2386__Rhinolophus,58
LYRa11__Rhinolophus_affinis,PRD-2386__Rhinolophus,57
Rs7327__Rhinolophus_sinicus,PRD-2386__Rhinolophus,56
WIV1__Rhinolophus_sinicus,PRD-2386__Rhinolophus,54
YN2013__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,84
Rf1__Rhinolophus_ferrumequium,RaTG15__Rhinolophus_affinis,80
Rs4247__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,83
Rs4237__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,82
Rp3__Rhinolophus_pearsonii,RaTG15__Rhinolophus_affinis,80
RhGB01__Rhinolophus_hipposideros,RaTG15__Rhinolophus_affinis,80
BB9904__Rhinolophus_euryale,RaTG15__Rhinolophus_affinis,72
BM48-31__Rhinolophus_blasii,RaTG15__Rhinolophus_affinis,68
Khosta2__Rhinolophus_hipposideros,RaTG15__Rhinolophus_affinis,78
Khosta1__Rhinolophus_ferrumequinum,RaTG15__Rhinolophus_affinis,65
PRD-0038__Rhinolophus,RaTG15__Rhinolophus_affinis,66
BtKY72__Rhinolophus,RaTG15__Rhinolophus_affinis,67
PRD-2386__Rhinolophus,RaTG15__Rhinolophus_affinis,65
RaTG15__Rhinolophus_affinis,RaTG15__Rhinolophus_affinis,0
SARS_CoV-2__Homo_sapiens,RaTG15__Rhinolophus_affinis,64
RaTG13__Rhinolophus_affinis,RaTG15__Rhinolophus_affinis,65
Rs4231__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,68
SARS_CoV__Homo_sapiens,RaTG15__Rhinolophus_affinis,70
LYRa11__Rhinolophus_affinis,RaTG15__Rhinolophus_affinis,69
Rs7327__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,68
WIV1__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,67
YN2013__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,83
Rf1__Rhinolophus_ferrumequium,SARS_CoV-2__Homo_sapiens,79
Rs4247__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,80
Rs4237__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,80
Rp3__Rhinolophus_pearsonii,SARS_CoV-2__Homo_sapiens,79
RhGB01__Rhinolophus_hipposideros,SARS_CoV-2__Homo_sapiens,74
BB9904__Rhinolophus_euryale,SARS_CoV-2__Homo_sapiens,74
BM48-31__Rhinolophus_blasii,SARS_CoV-2__Homo_sapiens,67
Khosta2__Rhinolophus_hipposideros,SARS_CoV-2__Homo_sapiens,71
Khosta1__Rhinolophus_ferrumequinum,SARS_CoV-2__Homo_sapiens,66
PRD-0038__Rhinolophus,SARS_CoV-2__Homo_sapiens,59
BtKY72__Rhinolophus,SARS_CoV-2__Homo_sapiens,60
PRD-2386__Rhinolophus,SARS_CoV-2__Homo_sapiens,59
RaTG15__Rhinolophus_affinis,SARS_CoV-2__Homo_sapiens,64
SARS_CoV-2__Homo_sapiens,SARS_CoV-2__Homo_sapiens,0
RaTG13__Rhinolophus_affinis,SARS_CoV-2__Homo_sapiens,22
Rs4231__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,54
SARS_CoV__Homo_sapiens,SARS_CoV-2__Homo_sapiens,60
LYRa11__Rhinolophus_affinis,SARS_CoV-2__Homo_sapiens,59
Rs7327__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,56
WIV1__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,55
YN2013__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,85
Rf1__Rhinolophus_ferrumequium,RaTG13__Rhinolophus_affinis,81
Rs4247__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,80
Rs4237__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,80
Rp3__Rhinolophus_pearsonii,RaTG13__Rhinolophus_affinis,79
RhGB01__Rhinolophus_hipposideros,RaTG13__Rhinolophus_affinis,77
BB9904__Rhinolophus_euryale,RaTG13__Rhinolophus_affinis,77
BM48-31__Rhinolophus_blasii,RaTG13__Rhinolophus_affinis,71
Khosta2__Rhinolophus_hipposideros,RaTG13__Rhinolophus_affinis,73
Khosta1__Rhinolophus_ferrumequinum,RaTG13__Rhinolophus_affinis,63
PRD-0038__Rhinolophus,RaTG13__Rhinolophus_affinis,61
BtKY72__Rhinolophus,RaTG13__Rhinolophus_affinis,62
PRD-2386__Rhinolophus,RaTG13__Rhinolophus_affinis,61
RaTG15__Rhinolophus_affinis,RaTG13__Rhinolophus_affinis,65
SARS_CoV-2__Homo_sapiens,RaTG13__Rhinolophus_affinis,22
RaTG13__Rhinolophus_affinis,RaTG13__Rhinolophus_affinis,0
Rs4231__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,54
SARS_CoV__Homo_sapiens,RaTG13__Rhinolophus_affinis,56
LYRa11__Rhinolophus_affinis,RaTG13__Rhinolophus_affinis,55
Rs7327__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,55
WIV1__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,53
YN2013__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,84
Rf1__Rhinolophus_ferrumequium,Rs4231__Rhinolophus_sinicus,79
Rs4247__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,81
Rs4237__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,81
Rp3__Rhinolophus_pearsonii,Rs4231__Rhinolophus_sinicus,80
RhGB01__Rhinolophus_hipposideros,Rs4231__Rhinolophus_sinicus,74
BB9904__Rhinolophus_euryale,Rs4231__Rhinolophus_sinicus,67
BM48-31__Rhinolophus_blasii,Rs4231__Rhinolophus_sinicus,60
Khosta2__Rhinolophus_hipposideros,Rs4231__Rhinolophus_sinicus,68
Khosta1__Rhinolophus_ferrumequinum,Rs4231__Rhinolophus_sinicus,58
PRD-0038__Rhinolophus,Rs4231__Rhinolophus_sinicus,54
BtKY72__Rhinolophus,Rs4231__Rhinolophus_sinicus,55
PRD-2386__Rhinolophus,Rs4231__Rhinolophus_sinicus,54
RaTG15__Rhinolophus_affinis,Rs4231__Rhinolophus_sinicus,68
SARS_CoV-2__Homo_sapiens,Rs4231__Rhinolophus_sinicus,54
RaTG13__Rhinolophus_affinis,Rs4231__Rhinolophus_sinicus,54
Rs4231__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,0
SARS_CoV__Homo_sapiens,Rs4231__Rhinolophus_sinicus,40
LYRa11__Rhinolophus_affinis,Rs4231__Rhinolophus_sinicus,37
Rs7327__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,33
WIV1__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,35
YN2013__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,83
Rf1__Rhinolophus_ferrumequium,SARS_CoV__Homo_sapiens,80
Rs4247__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,83
Rs4237__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,80
Rp3__Rhinolophus_pearsonii,SARS_CoV__Homo_sapiens,81
RhGB01__Rhinolophus_hipposideros,SARS_CoV__Homo_sapiens,73
BB9904__Rhinolophus_euryale,SARS_CoV__Homo_sapiens,71
