variable,species,value,clade_species,clade_variable
BM48-31__Rhinolophus_blasii,RaTG15__Rhinolophus_affinis,69,1,3
BM48-31__Rhinolophus_blasii,Shaanxi2011__Rhinolophus_pusillus,81,2,3
BM48-31__Rhinolophus_blasii,Khosta1__Rhinolophus_ferrumequinum,42,3,3
BM48-31__Rhinolophus_blasii,PRD-2386__Rhinolophus,40,3,3
BM48-31__Rhinolophus_blasii,PRD-0038__Rhinolophus,39,3,3
BM48-31__Rhinolophus_blasii,LYRa11__Rhinolophus_affinis,62,1,3
BM48-31__Rhinolophus_blasii,Rs4237__Rhinolophus_sinicus,84,2,3
BM48-31__Rhinolophus_blasii,Rs4084__Rhinolophus_sinicus,60,1,3
BM48-31__Rhinolophus_blasii,Rs7327__Rhinolophus_sinicus,61,1,3
BM48-31__Rhinolophus_blasii,Rs4237__Rhinolophus_sinicus,84,2,3
BM48-31__Rhinolophus_blasii,Rs4231__Rhinolophus_sinicus,59,1,3
BM48-31__Rhinolophus_blasii,BB9904__Rhinolophus_euryale,34,3,3
BM48-31__Rhinolophus_blasii,WIV1__Rhinolophus_sinicus,60,1,3
BM48-31__Rhinolophus_blasii,JL2012__Rhinolophus_ferrumequinum,83,2,3
BM48-31__Rhinolophus_blasii,Rs4081__Rhinolophus_sinicus,84,2,3
BM48-31__Rhinolophus_blasii,BtKY72__Rhinolophus,40,3,3
BM48-31__Rhinolophus_blasii,RsSHC014__Rhinolophus_sinicus,59,1,3
BM48-31__Rhinolophus_blasii,HuB2013__Rhinolophus_sinicus,81,2,3
BM48-31__Rhinolophus_blasii,RaTG13__Rhinolophus_affinis,70,1,3
BM48-31__Rhinolophus_blasii,SARS_CoV-2__Homo_sapiens,66,1,3
BM48-31__Rhinolophus_blasii,Rp3__Rhinolophus_pearsonii,83,2,3
BM48-31__Rhinolophus_blasii,Khosta2__Rhinolophus_hipposideros,57,3,3
BM48-31__Rhinolophus_blasii,SARS_CoV__Homo_sapiens,63,1,3
BM48-31__Rhinolophus_blasii,ZXC21__Rhinolophus_sinicus,84,2,3
BM48-31__Rhinolophus_blasii,Rs806/2006__Rhinolophus_sinicus,84,2,3
BM48-31__Rhinolophus_blasii,Rf1__Rhinolophus_ferrumequium,79,2,3
BM48-31__Rhinolophus_blasii,RhGB01__Rhinolophus_hipposideros,52,3,3
BtKY72__Rhinolophus,RsSHC014__Rhinolophus_sinicus,55,1,3
BtKY72__Rhinolophus,WIV1__Rhinolophus_sinicus,56,1,3
BtKY72__Rhinolophus,Khosta2__Rhinolophus_hipposideros,47,3,3
BtKY72__Rhinolophus,Shaanxi2011__Rhinolophus_pusillus,79,2,3
BtKY72__Rhinolophus,Khosta1__Rhinolophus_ferrumequinum,24,3,3
BtKY72__Rhinolophus,Rs7327__Rhinolophus_sinicus,56,1,3
BtKY72__Rhinolophus,Rs4237__Rhinolophus_sinicus,79,2,3
BtKY72__Rhinolophus,PRD-2386__Rhinolophus,3,3,3
BtKY72__Rhinolophus,LYRa11__Rhinolophus_affinis,57,1,3
BtKY72__Rhinolophus,Rs4084__Rhinolophus_sinicus,56,1,3
BtKY72__Rhinolophus,Rf1__Rhinolophus_ferrumequium,80,2,3
BtKY72__Rhinolophus,BM48-31__Rhinolophus_blasii,40,3,3
BtKY72__Rhinolophus,BtKY72__Rhinolophus,0,3,3
BtKY72__Rhinolophus,Rs4231__Rhinolophus_sinicus,55,1,3
BtKY72__Rhinolophus,Rp3__Rhinolophus_pearsonii,80,2,3
BtKY72__Rhinolophus,HeB2013__Rhinolophus_ferrumequium,80,2,3
BtKY72__Rhinolophus,PRD-0038__Rhinolophus,4,3,3
BtKY72__Rhinolophus,SARS_CoV__Homo_sapiens,58,1,3
BtKY72__Rhinolophus,RhGB01__Rhinolophus_hipposideros,58,3,3
BtKY72__Rhinolophus,Rs806/2006__Rhinolophus_sinicus,78,2,3
BtKY72__Rhinolophus,JL2012__Rhinolophus_ferrumequinum,86,2,3
BtKY72__Rhinolophus,BB9904__Rhinolophus_euryale,45,3,3
BtKY72__Rhinolophus,ZXC21__Rhinolophus_sinicus,84,2,3
BtKY72__Rhinolophus,SARS_CoV-2__Homo_sapiens,60,1,3
BtKY72__Rhinolophus,Rf4092__Rhinolophus_ferrumequium,84,2,3
BtKY72__Rhinolophus,YN2013__Rhinolophus_sinicus,81,2,3
BtKY72__Rhinolophus,RaTG13__Rhinolophus_affinis,62,1,3
BtKY72__Rhinolophus,Rs4237__Rhinolophus_sinicus,79,2,3
BtKY72__Rhinolophus,HuB2013__Rhinolophus_sinicus,77,2,3
BtKY72__Rhinolophus,RaTG15__Rhinolophus_affinis,67,1,3
BtKY72__Rhinolophus,Rs4081__Rhinolophus_sinicus,80,2,3
HeB2013__Rhinolophus_ferrumequium,Rs4084__Rhinolophus_sinicus,80,1,2
HeB2013__Rhinolophus_ferrumequium,JL2012__Rhinolophus_ferrumequinum,10,2,2
HeB2013__Rhinolophus_ferrumequium,HeB2013__Rhinolophus_ferrumequium,0,2,2
HeB2013__Rhinolophus_ferrumequium,Rf4092__Rhinolophus_ferrumequium,15,2,2
HeB2013__Rhinolophus_ferrumequium,RaTG13__Rhinolophus_affinis,81,1,2
HeB2013__Rhinolophus_ferrumequium,SARS_CoV-2__Homo_sapiens,79,1,2
HeB2013__Rhinolophus_ferrumequium,Rs7327__Rhinolophus_sinicus,78,1,2
HeB2013__Rhinolophus_ferrumequium,ZXC21__Rhinolophus_sinicus,16,2,2
HeB2013__Rhinolophus_ferrumequium,Khosta1__Rhinolophus_ferrumequinum,77,3,2
HeB2013__Rhinolophus_ferrumequium,Rs806/2006__Rhinolophus_sinicus,23,2,2
HeB2013__Rhinolophus_ferrumequium,HuB2013__Rhinolophus_sinicus,24,2,2
HeB2013__Rhinolophus_ferrumequium,RaTG15__Rhinolophus_affinis,78,1,2
HeB2013__Rhinolophus_ferrumequium,Shaanxi2011__Rhinolophus_pusillus,21,2,2
HeB2013__Rhinolophus_ferrumequium,Rf1__Rhinolophus_ferrumequium,1,2,2
HeB2013__Rhinolophus_ferrumequium,Rp3__Rhinolophus_pearsonii,21,2,2
HeB2013__Rhinolophus_ferrumequium,Rs4237__Rhinolophus_sinicus,22,2,2
HeB2013__Rhinolophus_ferrumequium,YN2013__Rhinolophus_sinicus,18,2,2
HeB2013__Rhinolophus_ferrumequium,Rs4237__Rhinolophus_sinicus,22,2,2
HeB2013__Rhinolophus_ferrumequium,BtKY72__Rhinolophus,80,3,2
HeB2013__Rhinolophus_ferrumequium,SARS_CoV__Homo_sapiens,80,1,2
HeB2013__Rhinolophus_ferrumequium,BB9904__Rhinolophus_euryale,80,3,2
HeB2013__Rhinolophus_ferrumequium,RsSHC014__Rhinolophus_sinicus,79,1,2
HeB2013__Rhinolophus_ferrumequium,PRD-2386__Rhinolophus,79,3,2
HeB2013__Rhinolophus_ferrumequium,RhGB01__Rhinolophus_hipposideros,86,3,2
HeB2013__Rhinolophus_ferrumequium,BM48-31__Rhinolophus_blasii,79,3,2
HeB2013__Rhinolophus_ferrumequium,LYRa11__Rhinolophus_affinis,78,1,2
HeB2013__Rhinolophus_ferrumequium,WIV1__Rhinolophus_sinicus,77,1,2
HeB2013__Rhinolophus_ferrumequium,Rs4231__Rhinolophus_sinicus,79,1,2
HeB2013__Rhinolophus_ferrumequium,PRD-0038__Rhinolophus,80,3,2
HeB2013__Rhinolophus_ferrumequium,Khosta2__Rhinolophus_hipposideros,88,3,2
HeB2013__Rhinolophus_ferrumequium,Rs4081__Rhinolophus_sinicus,22,2,2
HuB2013__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,78,1,2
HuB2013__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,80,1,2
HuB2013__Rhinolophus_sinicus,Rs4081__Rhinolophus_sinicus,15,2,2
HuB2013__Rhinolophus_sinicus,PRD-2386__Rhinolophus,76,3,2
HuB2013__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,13,2,2
HuB2013__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,15,2,2
HuB2013__Rhinolophus_sinicus,JL2012__Rhinolophus_ferrumequinum,25,2,2
HuB2013__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,78,1,2
HuB2013__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,79,1,2
HuB2013__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,78,1,2
HuB2013__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,81,1,2
HuB2013__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,15,2,2
HuB2013__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,75,3,2
HuB2013__Rhinolophus_sinicus,Rs806/2006__Rhinolophus_sinicus,8,2,2
HuB2013__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,85,3,2
HuB2013__Rhinolophus_sinicus,Rf4092__Rhinolophus_ferrumequium,22,2,2
HuB2013__Rhinolophus_sinicus,ZXC21__Rhinolophus_sinicus,20,2,2
HuB2013__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,78,3,2
HuB2013__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,87,3,2
HuB2013__Rhinolophus_sinicus,Shaanxi2011__Rhinolophus_pusillus,15,2,2
HuB2013__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,79,1,2
HuB2013__Rhinolophus_sinicus,Rs4084__Rhinolophus_sinicus,80,1,2
HuB2013__Rhinolophus_sinicus,HeB2013__Rhinolophus_ferrumequium,24,2,2
HuB2013__Rhinolophus_sinicus,BtKY72__Rhinolophus,77,3,2
HuB2013__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,78,1,2
HuB2013__Rhinolophus_sinicus,PRD-0038__Rhinolophus,77,3,2
HuB2013__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,17,2,2
HuB2013__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,81,3,2
HuB2013__Rhinolophus_sinicus,RsSHC014__Rhinolophus_sinicus,79,1,2
HuB2013__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,23,2,2
HuB2013__Rhinolophus_sinicus,HuB2013__Rhinolophus_sinicus,0,2,2
JL2012__Rhinolophus_ferrumequinum,Khosta2__Rhinolophus_hipposideros,89,3,2
JL2012__Rhinolophus_ferrumequinum,BM48-31__Rhinolophus_blasii,83,3,2
JL2012__Rhinolophus_ferrumequinum,Shaanxi2011__Rhinolophus_pusillus,24,2,2
JL2012__Rhinolophus_ferrumequinum,Rp3__Rhinolophus_pearsonii,24,2,2
JL2012__Rhinolophus_ferrumequinum,Rs4237__Rhinolophus_sinicus,25,2,2
JL2012__Rhinolophus_ferrumequinum,JL2012__Rhinolophus_ferrumequinum,0,2,2
JL2012__Rhinolophus_ferrumequinum,PRD-0038__Rhinolophus,86,3,2
JL2012__Rhinolophus_ferrumequinum,RsSHC014__Rhinolophus_sinicus,82,1,2
JL2012__Rhinolophus_ferrumequinum,SARS_CoV-2__Homo_sapiens,80,1,2
JL2012__Rhinolophus_ferrumequinum,YN2013__Rhinolophus_sinicus,21,2,2
JL2012__Rhinolophus_ferrumequinum,WIV1__Rhinolophus_sinicus,81,1,2
JL2012__Rhinolophus_ferrumequinum,BB9904__Rhinolophus_euryale,84,3,2
JL2012__Rhinolophus_ferrumequinum,LYRa11__Rhinolophus_affinis,82,1,2
JL2012__Rhinolophus_ferrumequinum,BtKY72__Rhinolophus,86,3,2
JL2012__Rhinolophus_ferrumequinum,Rs4237__Rhinolophus_sinicus,25,2,2
JL2012__Rhinolophus_ferrumequinum,SARS_CoV__Homo_sapiens,81,1,2
JL2012__Rhinolophus_ferrumequinum,Rf4092__Rhinolophus_ferrumequium,14,2,2
JL2012__Rhinolophus_ferrumequinum,ZXC21__Rhinolophus_sinicus,15,2,2
JL2012__Rhinolophus_ferrumequinum,Rs806/2006__Rhinolophus_sinicus,25,2,2
JL2012__Rhinolophus_ferrumequinum,HuB2013__Rhinolophus_sinicus,25,2,2
JL2012__Rhinolophus_ferrumequinum,RaTG13__Rhinolophus_affinis,82,1,2
JL2012__Rhinolophus_ferrumequinum,Rs4081__Rhinolophus_sinicus,25,2,2
JL2012__Rhinolophus_ferrumequinum,Rf1__Rhinolophus_ferrumequium,9,2,2
JL2012__Rhinolophus_ferrumequinum,RaTG15__Rhinolophus_affinis,79,1,2
JL2012__Rhinolophus_ferrumequinum,Rs4231__Rhinolophus_sinicus,82,1,2
JL2012__Rhinolophus_ferrumequinum,RhGB01__Rhinolophus_hipposideros,88,3,2
JL2012__Rhinolophus_ferrumequinum,Khosta1__Rhinolophus_ferrumequinum,83,3,2
JL2012__Rhinolophus_ferrumequinum,HeB2013__Rhinolophus_ferrumequium,10,2,2
JL2012__Rhinolophus_ferrumequinum,Rs4084__Rhinolophus_sinicus,83,1,2
JL2012__Rhinolophus_ferrumequinum,PRD-2386__Rhinolophus,85,3,2
JL2012__Rhinolophus_ferrumequinum,Rs7327__Rhinolophus_sinicus,81,1,2
Khosta1__Rhinolophus_ferrumequinum,BtKY72__Rhinolophus,24,3,3
Khosta1__Rhinolophus_ferrumequinum,RsSHC014__Rhinolophus_sinicus,58,1,3
Khosta1__Rhinolophus_ferrumequinum,Rf4092__Rhinolophus_ferrumequium,82,2,3
Khosta1__Rhinolophus_ferrumequinum,ZXC21__Rhinolophus_sinicus,82,2,3
Khosta1__Rhinolophus_ferrumequinum,Rs4231__Rhinolophus_sinicus,58,1,3
Khosta1__Rhinolophus_ferrumequinum,PRD-0038__Rhinolophus,22,3,3
Khosta1__Rhinolophus_ferrumequinum,SARS_CoV-2__Homo_sapiens,65,1,3
Khosta1__Rhinolophus_ferrumequinum,Rs4081__Rhinolophus_sinicus,78,2,3
Khosta1__Rhinolophus_ferrumequinum,WIV1__Rhinolophus_sinicus,54,1,3
Khosta1__Rhinolophus_ferrumequinum,JL2012__Rhinolophus_ferrumequinum,83,2,3
Khosta1__Rhinolophus_ferrumequinum,SARS_CoV__Homo_sapiens,58,1,3
Khosta1__Rhinolophus_ferrumequinum,HeB2013__Rhinolophus_ferrumequium,77,2,3
Khosta1__Rhinolophus_ferrumequinum,Rf1__Rhinolophus_ferrumequium,77,2,3
Khosta1__Rhinolophus_ferrumequinum,YN2013__Rhinolophus_sinicus,79,2,3
Khosta1__Rhinolophus_ferrumequinum,Shaanxi2011__Rhinolophus_pusillus,77,2,3
Khosta1__Rhinolophus_ferrumequinum,RhGB01__Rhinolophus_hipposideros,57,3,3
Khosta1__Rhinolophus_ferrumequinum,Khosta2__Rhinolophus_hipposideros,44,3,3
Khosta1__Rhinolophus_ferrumequinum,Rs4237__Rhinolophus_sinicus,77,2,3
Khosta1__Rhinolophus_ferrumequinum,RaTG15__Rhinolophus_affinis,65,1,3
Khosta1__Rhinolophus_ferrumequinum,Rp3__Rhinolophus_pearsonii,78,2,3
Khosta1__Rhinolophus_ferrumequinum,Rs806/2006__Rhinolophus_sinicus,78,2,3
Khosta1__Rhinolophus_ferrumequinum,BM48-31__Rhinolophus_blasii,42,3,3
Khosta1__Rhinolophus_ferrumequinum,BB9904__Rhinolophus_euryale,47,3,3
Khosta1__Rhinolophus_ferrumequinum,Khosta1__Rhinolophus_ferrumequinum,0,3,3
Khosta1__Rhinolophus_ferrumequinum,RaTG13__Rhinolophus_affinis,62,1,3
Khosta1__Rhinolophus_ferrumequinum,HuB2013__Rhinolophus_sinicus,75,2,3
Khosta1__Rhinolophus_ferrumequinum,Rs4237__Rhinolophus_sinicus,77,2,3
Khosta1__Rhinolophus_ferrumequinum,LYRa11__Rhinolophus_affinis,56,1,3
Khosta1__Rhinolophus_ferrumequinum,Rs4084__Rhinolophus_sinicus,59,1,3
Khosta1__Rhinolophus_ferrumequinum,PRD-2386__Rhinolophus,23,3,3
Khosta1__Rhinolophus_ferrumequinum,Rs7327__Rhinolophus_sinicus,55,1,3
Khosta2__Rhinolophus_hipposideros,BtKY72__Rhinolophus,47,3,3
Khosta2__Rhinolophus_hipposideros,BB9904__Rhinolophus_euryale,61,3,3
Khosta2__Rhinolophus_hipposideros,Rf4092__Rhinolophus_ferrumequium,89,2,3
Khosta2__Rhinolophus_hipposideros,PRD-2386__Rhinolophus,47,3,3
Khosta2__Rhinolophus_hipposideros,Rs4084__Rhinolophus_sinicus,69,1,3
Khosta2__Rhinolophus_hipposideros,SARS_CoV-2__Homo_sapiens,72,1,3
Khosta2__Rhinolophus_hipposideros,Rs4081__Rhinolophus_sinicus,89,2,3
Khosta2__Rhinolophus_hipposideros,Khosta2__Rhinolophus_hipposideros,0,3,3
Khosta2__Rhinolophus_hipposideros,Rs806/2006__Rhinolophus_sinicus,87,2,3
Khosta2__Rhinolophus_hipposideros,PRD-0038__Rhinolophus,47,3,3
Khosta2__Rhinolophus_hipposideros,WIV1__Rhinolophus_sinicus,63,1,3
Khosta2__Rhinolophus_hipposideros,Rs4237__Rhinolophus_sinicus,88,2,3
Khosta2__Rhinolophus_hipposideros,RaTG13__Rhinolophus_affinis,74,1,3
Khosta2__Rhinolophus_hipposideros,ZXC21__Rhinolophus_sinicus,91,2,3
Khosta2__Rhinolophus_hipposideros,Rs4237__Rhinolophus_sinicus,88,2,3
Khosta2__Rhinolophus_hipposideros,LYRa11__Rhinolophus_affinis,64,1,3
Khosta2__Rhinolophus_hipposideros,HuB2013__Rhinolophus_sinicus,87,2,3
Khosta2__Rhinolophus_hipposideros,RaTG15__Rhinolophus_affinis,78,1,3
Khosta2__Rhinolophus_hipposideros,HeB2013__Rhinolophus_ferrumequium,88,2,3
Khosta2__Rhinolophus_hipposideros,JL2012__Rhinolophus_ferrumequinum,89,2,3
Khosta2__Rhinolophus_hipposideros,Shaanxi2011__Rhinolophus_pusillus,86,2,3
Khosta2__Rhinolophus_hipposideros,Rs7327__Rhinolophus_sinicus,63,1,3
Khosta2__Rhinolophus_hipposideros,BM48-31__Rhinolophus_blasii,57,3,3
Khosta2__Rhinolophus_hipposideros,RhGB01__Rhinolophus_hipposideros,61,3,3
Khosta2__Rhinolophus_hipposideros,Rf1__Rhinolophus_ferrumequium,88,2,3
Khosta2__Rhinolophus_hipposideros,Khosta1__Rhinolophus_ferrumequinum,44,3,3
Khosta2__Rhinolophus_hipposideros,Rp3__Rhinolophus_pearsonii,87,2,3
Khosta2__Rhinolophus_hipposideros,RsSHC014__Rhinolophus_sinicus,68,1,3
Khosta2__Rhinolophus_hipposideros,Rs4231__Rhinolophus_sinicus,68,1,3
Khosta2__Rhinolophus_hipposideros,YN2013__Rhinolophus_sinicus,91,2,3
Khosta2__Rhinolophus_hipposideros,SARS_CoV__Homo_sapiens,64,1,3
LYRa11__Rhinolophus_affinis,YN2013__Rhinolophus_sinicus,81,2,1
LYRa11__Rhinolophus_affinis,SARS_CoV__Homo_sapiens,13,1,1
LYRa11__Rhinolophus_affinis,Rs4084__Rhinolophus_sinicus,38,1,1
LYRa11__Rhinolophus_affinis,Rs4081__Rhinolophus_sinicus,79,2,1
LYRa11__Rhinolophus_affinis,HuB2013__Rhinolophus_sinicus,80,2,1
LYRa11__Rhinolophus_affinis,SARS_CoV-2__Homo_sapiens,59,1,1
LYRa11__Rhinolophus_affinis,PRD-0038__Rhinolophus,57,3,1
LYRa11__Rhinolophus_affinis,Rp3__Rhinolophus_pearsonii,79,2,1
LYRa11__Rhinolophus_affinis,Rf1__Rhinolophus_ferrumequium,78,2,1
LYRa11__Rhinolophus_affinis,Rs7327__Rhinolophus_sinicus,6,1,1
LYRa11__Rhinolophus_affinis,BB9904__Rhinolophus_euryale,72,3,1
LYRa11__Rhinolophus_affinis,ZXC21__Rhinolophus_sinicus,82,2,1
LYRa11__Rhinolophus_affinis,PRD-2386__Rhinolophus,57,3,1
LYRa11__Rhinolophus_affinis,WIV1__Rhinolophus_sinicus,8,1,1
LYRa11__Rhinolophus_affinis,Khosta2__Rhinolophus_hipposideros,64,3,1
LYRa11__Rhinolophus_affinis,JL2012__Rhinolophus_ferrumequinum,82,2,1
LYRa11__Rhinolophus_affinis,BtKY72__Rhinolophus,57,3,1
LYRa11__Rhinolophus_affinis,RsSHC014__Rhinolophus_sinicus,37,1,1
LYRa11__Rhinolophus_affinis,Shaanxi2011__Rhinolophus_pusillus,76,2,1
LYRa11__Rhinolophus_affinis,RaTG15__Rhinolophus_affinis,69,1,1
LYRa11__Rhinolophus_affinis,HeB2013__Rhinolophus_ferrumequium,78,2,1
LYRa11__Rhinolophus_affinis,RaTG13__Rhinolophus_affinis,55,1,1
LYRa11__Rhinolophus_affinis,RhGB01__Rhinolophus_hipposideros,72,3,1
LYRa11__Rhinolophus_affinis,Rs4237__Rhinolophus_sinicus,78,2,1
LYRa11__Rhinolophus_affinis,Rs4231__Rhinolophus_sinicus,37,1,1
LYRa11__Rhinolophus_affinis,LYRa11__Rhinolophus_affinis,0,1,1
LYRa11__Rhinolophus_affinis,Rs806/2006__Rhinolophus_sinicus,79,2,1
LYRa11__Rhinolophus_affinis,Rs4237__Rhinolophus_sinicus,78,2,1
LYRa11__Rhinolophus_affinis,Khosta1__Rhinolophus_ferrumequinum,56,3,1
LYRa11__Rhinolophus_affinis,Rf4092__Rhinolophus_ferrumequium,80,2,1
LYRa11__Rhinolophus_affinis,BM48-31__Rhinolophus_blasii,62,3,1
PRD-0038__Rhinolophus,Rs4081__Rhinolophus_sinicus,80,2,3
PRD-0038__Rhinolophus,PRD-2386__Rhinolophus,3,3,3
PRD-0038__Rhinolophus,PRD-0038__Rhinolophus,0,3,3
PRD-0038__Rhinolophus,Khosta1__Rhinolophus_ferrumequinum,22,3,3
PRD-0038__Rhinolophus,HuB2013__Rhinolophus_sinicus,77,2,3
PRD-0038__Rhinolophus,WIV1__Rhinolophus_sinicus,54,1,3
PRD-0038__Rhinolophus,SARS_CoV__Homo_sapiens,57,1,3
PRD-0038__Rhinolophus,BB9904__Rhinolophus_euryale,47,3,3
PRD-0038__Rhinolophus,HeB2013__Rhinolophus_ferrumequium,80,2,3
PRD-0038__Rhinolophus,Rf1__Rhinolophus_ferrumequium,80,2,3
PRD-0038__Rhinolophus,BtKY72__Rhinolophus,4,3,3
PRD-0038__Rhinolophus,Rs806/2006__Rhinolophus_sinicus,78,2,3
PRD-0038__Rhinolophus,RaTG13__Rhinolophus_affinis,61,1,3
PRD-0038__Rhinolophus,Khosta2__Rhinolophus_hipposideros,47,3,3
PRD-0038__Rhinolophus,LYRa11__Rhinolophus_affinis,57,1,3
PRD-0038__Rhinolophus,Rs4084__Rhinolophus_sinicus,55,1,3
PRD-0038__Rhinolophus,Rf4092__Rhinolophus_ferrumequium,84,2,3
PRD-0038__Rhinolophus,ZXC21__Rhinolophus_sinicus,84,2,3
PRD-0038__Rhinolophus,RaTG15__Rhinolophus_affinis,66,1,3
PRD-0038__Rhinolophus,BM48-31__Rhinolophus_blasii,39,3,3
PRD-0038__Rhinolophus,Rs4237__Rhinolophus_sinicus,79,2,3
PRD-0038__Rhinolophus,YN2013__Rhinolophus_sinicus,81,2,3
PRD-0038__Rhinolophus,Rs7327__Rhinolophus_sinicus,56,1,3
PRD-0038__Rhinolophus,Shaanxi2011__Rhinolophus_pusillus,79,2,3
PRD-0038__Rhinolophus,JL2012__Rhinolophus_ferrumequinum,86,2,3
PRD-0038__Rhinolophus,SARS_CoV-2__Homo_sapiens,59,1,3
PRD-0038__Rhinolophus,Rs4237__Rhinolophus_sinicus,79,2,3
PRD-0038__Rhinolophus,Rs4231__Rhinolophus_sinicus,54,1,3
PRD-0038__Rhinolophus,Rp3__Rhinolophus_pearsonii,80,2,3
PRD-0038__Rhinolophus,RsSHC014__Rhinolophus_sinicus,54,1,3
PRD-0038__Rhinolophus,RhGB01__Rhinolophus_hipposideros,59,3,3
PRD-2386__Rhinolophus,Rs4237__Rhinolophus_sinicus,78,2,3
PRD-2386__Rhinolophus,SARS_CoV__Homo_sapiens,58,1,3
PRD-2386__Rhinolophus,BtKY72__Rhinolophus,3,3,3
PRD-2386__Rhinolophus,Rs7327__Rhinolophus_sinicus,56,1,3
PRD-2386__Rhinolophus,Shaanxi2011__Rhinolophus_pusillus,78,2,3
PRD-2386__Rhinolophus,HeB2013__Rhinolophus_ferrumequium,79,2,3
PRD-2386__Rhinolophus,Rp3__Rhinolophus_pearsonii,79,2,3
PRD-2386__Rhinolophus,Rs806/2006__Rhinolophus_sinicus,77,2,3
PRD-2386__Rhinolophus,BM48-31__Rhinolophus_blasii,40,3,3
PRD-2386__Rhinolophus,Khosta2__Rhinolophus_hipposideros,47,3,3
PRD-2386__Rhinolophus,HuB2013__Rhinolophus_sinicus,76,2,3
PRD-2386__Rhinolophus,RhGB01__Rhinolophus_hipposideros,59,3,3
PRD-2386__Rhinolophus,WIV1__Rhinolophus_sinicus,54,1,3
